국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
미국,미국,https://public.flourish.studio/country-flags/svg/us.svg, 72.9007, 74.1079, 76.8173, 82.6984, 85.7218, 91.8235,  100.196,  108.117,  116.727,  126.272,  134.449,  141.717,  154.780,  169.047,  182.938,  185.622,  201.340,  210.182,  219.413,  233.723,  248.967,  231.650,  262.975,  298.535,  338.903,  384.730,  436.755,  501.153,  575.047,  655.912,  748.149,  853.356,  973.359,1119.60,1299.04,1507.24,1738.95,1958.20,2100.77
콜롬비아,콜롬비아,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg, 1.3245, 1.5258, 1.6966, 1.9713, 1.8896, 1.9247, 1.9220, 1.9192, 1.7989, 1.8855, 1.8820, 1.9939, 2.0925, 2.1960, 2.1509, 2.2142, 2.3459, 2.4213, 2.4506, 2.6029, 2.7646, 2.9364, 3.0012, 3.0601, 3.0820, 3.1461, 2.9298, 2.7406, 2.6221, 2.8156, 2.8262, 3.0065, 2.9878, 2.8796, 3.0920, 3.2274, 3.3042, 3.5144, 3.6572
멕시코,멕시코,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,,,,,,,,,,4.6563, 4.8306, 4.8588, 5.2754, 5.6750, 6.1048, 6.6283, 7.1966, 7.5784, 7.3742, 7.7654, 7.6337, 7.8158, 11.5314, 12.1523, 12.8068, 13.4964, 14.2232, 15.0095, 15.8392, 16.8389, 17.9015, 19.0313, 20.2323, 21.5929, 23.0450, 24.5947, 28.6596, 33.1372, 38.0028
캐나다,캐나다,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,,,,,,,,,,,8.0360, 8.6702, 9.6146, 10.9502, 11.9239, 13.5804, 14.7880, 16.2508, 17.5333, 18.5664, 19.6604, 20.8188, 21.4796, 22.0996, 23.4015, 24.7655, 26.1996, 27.7129, 29.3162, 31.5988, 34.1396, 36.9915, 40.2101, 46.2417, 53.1779, 61.1546, 68.3134, 76.6883, 87.1342
아르헨티나,아르헨티나,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3175, 50.0312, 51.8057, 58.4930, 61.9491, 65.6094, 62.8651, 69.1269, 78.7776, 90.5633, 88.6810,  102.835,  112.050
포르투갈,포르투갈,https://public.flourish.studio/country-flags/svg/pt.svg, 1.5894, 1.5387, 1.5512, 1.5948, 1.6077, 1.7011, 1.7149, 1.8317, 1.9505, 1.8883, 1.9558, 1.8430, 1.7366, 1.7057, 1.6754, 1.5787, 1.4875, 1.5652, 1.6313, 1.6349, 1.7203, 1.8102, 1.7731, 1.7848, 1.6814, 1.5834, 1.5832, 1.5405, 1.3912, 1.3402, 1.2731, 1.0483, 0.9205, 1.0672, 1.3953, 1.7780, 2.1702, 2.8973, 3.7106
스페인,스페인,https://public.flourish.studio/country-flags/svg/es.svg, 6.7152, 7.2032, 7.6546, 7.5220, 7.6925, 8.1746, 8.0329, 8.7773, 9.0197, 9.2466, 9.4124,9.5144,9.7094,9.5201,10.3816,10.8021,11.6716,11.7177,11.2952,12.0176,11.9448,11.9920, 13.1906, 14.5090, 15.9592, 17.5543, 19.2852, 21.0065, 22.9006, 25.0965, 27.5241, 30.1866, 33.1066, 36.5785, 40.5507, 45.4697, 51.2860, 58.9620, 67.2879
프랑스,프랑스,https://public.flourish.studio/country-flags/svg/fr.svg, 23.5364, 24.2893, 25.7950, 26.6201, 26.9393, 27.8010, 29.8024,,,, 40.3005,33.3309,36.0519,37.7305,41.3739,45.3691,48.3890,49.6743,51.9873,54.4079,58.5735,61.3009, 67.2203, 73.7112, 80.8290, 88.6340, 97.1928, 99.3474,  101.550,  103.642,  105.777,  110.939,  120.522,  136.323,  154.223,  176.110,  201.534,  230.627,  263.920
비시프랑스,프랑스,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Philippe_P%C3%A9tain%2C_Chief_of_State_of_Vichy_France.svg,,,,,,, 29.8024, 32.2627, 37.8097, 39.0836, 40.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영국,영국,https://public.flourish.studio/country-flags/svg/gb.svg, 35.4172, 37.7398, 37.9503, 36.6439, 35.3825, 38.0566, 39.0300, 38.8574, 39.2920, 39.6403, 39.1260,36.2253,39.6609,40.6460,44.9073,48.2680,49.4669,52.2779,52.1119,56.6366,62.1204,63.7868, 70.6009, 78.1428, 86.4904, 95.7298,  105.956,  108.730,  111.577,  116.544,  121.732,  127.152,  132.812,  138.647,  144.739,  151.098,  157.737,  163.406,  169.278
네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg, 4.1060, 4.0960, 4.3729, 4.4060, 4.6598, 4.7883,,,,,,4.6271,4.6512,4.4480,4.3872,4.1956,4.1382,4.1425,3.9812,4.0649,3.9066,4.1060, 8.7955, 9.4204, 10.0896, 10.8065, 11.5742, 12.3965, 13.2773, 14.2206, 15.2309, 16.3130, 17.4720, 19.1131, 20.9083, 22.8721, 25.0204, 27.3705, 29.9413
독일령 네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg,,,,,, 4.7883, 4.9204, 5.1545, 5.4428, 5.6977, 5.8741, 5.4118,,,,,,,,,,,,,,,,,,,,,,,,,,,
독일,독일,https://public.flourish.studio/country-flags/svg/de.svg, 29.3245, 29.5110, 30.8791, 33.8547, 36.5691, 39.8668, 40.6712, 43.9321, 47.5332, 49.9541, 48.0213, 38.9016,,,,,,,,,,,,,,,,,,,,,,,,,,,
서독,독일,https://public.flourish.studio/country-flags/svg/de.svg,,,,,,,,,,,, 38.9016, 34.0684, 36.9512, 40.8169, 44.6789, 46.2256, 50.2858, 49.6740, 52.0501, 54.5399, 55.5125, 60.8269, 66.7779, 73.3110, 80.4834, 88.3574, 96.2797,  104.912,  120.268,  137.870,  158.049,  181.182,  209.555,  242.370,  281.103,  326.025,  378.126,  438.553
동독,동독,https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg,,,,,,,,,,,,, 6.0121, 6.5208, 7.2030, 7.8845, 8.1575, 8.8740, 8.7660, 9.1853, 9.6247, 9.7963, 10.7342, 11.7843, 12.9372, 14.2029, 15.5925, 16.8204, 18.1449, 20.1949, 22.4765, 25.0159, 27.8422, 31.1342, 34.8247, 38.9423, 43.5468, 48.6956, 54.4532
덴마크,덴마크,https://public.flourish.studio/country-flags/svg/dk.svg, 1.5894, 1.5786, 1.6152, 1.7011, 1.6895, 1.7456, 1.8733, 1.9994, 2.1343, 2.0179, 2.0615, 1.9612, 1.9995, 2.0246, 2.0500, 2.0142, 2.0596, 2.1073, 2.1982, 2.2051, 2.1238, 2.0455, 4.4531, 4.8470, 5.2759, 5.7427, 6.2508, 6.3855, 6.5231, 6.6636, 6.8072, 7.3050, 7.8393, 8.4377, 9.0818, 9.7751, 10.5213, 11.3244, 12.4250
이탈리아,이탈리아,https://public.flourish.studio/country-flags/svg/it.svg, 16.0530, 16.8891, 17.4310, 17.9903, 18.3876, 19.8970, 20.3364, 20.1683, 21.0690, 21.5343, 21.7026, 19.7826, 18.9950, 19.2335, 19.4749, 19.1351, 19.5666, 20.0194, 20.8830, 20.9485, 20.1764, 19.4326, 27.5174, 28.8032, 30.2008, 31.7248, 33.3913, 34.2784, 35.2357, 37.2632, 39.5950, 42.2767, 45.3608, 49.9219, 56.0134, 62.7306, 70.1279, 78.2853, 87.2741
체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg, 4.2384, 4.4586, 4.5119, 4.5207,,,,,,,, 5.0366, 5.0836, 5.1310, 5.1789, 5.0201, 5.3180, 5.6867, 5.7398, 5.5638, 5.5601, 5.3896, 5.8171, 6.2786, 6.7768, 7.3144, 7.8947, 8.5210, 9.1970, 9.9266, 10.7142, 11.5642, 12.4816, 13.5175, 14.6393, 15.8542, 17.1699, 18.5948, 20.1380
독일령 체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,,,, 4.5207, 4.5296, 4.8102, 4.8677, 5.1206, 5.2437, 5.3410, 5.2399, 5.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,
폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg, 5.5629, 6.5372, 6.6788, 6.6231, 6.7665,,,,,,, 6.9061, 5.7434, 5.9706, 6.3262, 6.4499, 6.8985, 6.8955, 7.1683, 7.1651, 7.0903, 7.2856, 12.4677, 13.3349, 14.2625, 15.2545, 16.3156, 17.4505, 18.6643, 19.9821, 21.3930, 22.9035, 24.5207, 26.0382, 27.6496, 29.3608, 31.1778, 33.1074, 35.1563
독일령 폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg,,,,, 6.7665, 6.7777, 6.7212, 7.0012, 7.0244, 6.5670, 6.7010, 6.9061,,,,,,,,,,,,,,,,,,,,,,,,,,,
스웨덴,스웨덴,https://public.flourish.studio/country-flags/svg/se.svg, 2.9669, 3.1167, 3.1495, 3.1825, 3.3433, 3.4452, 3.6881, 3.5793, 3.6549, 3.6567, 3.7595, 3.8753, 3.9878, 3.8719, 3.7594, 4.0637, 4.1081, 3.9887, 3.9924, 4.0361, 4.2417, 4.1184, 9.0526, 9.9493, 10.9347, 12.0177, 13.2080, 14.5162, 15.9540, 17.5342, 19.2709, 21.1796, 23.1281, 25.3652, 27.8186, 30.5093, 33.4603, 36.6967, 40.2462
