국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
미국,미국,https://public.flourish.studio/country-flags/svg/us.svg,,0.7411,0.7682,0.8270,0.8572,1.3774,4.0078,7.0276,7.5873,25.2544,33.6124,31.1778,23.2170,25.3570,27.4407,27.8434,30.2010,12.6109,13.1648,14.0234,14.9380,13.8990,15.7785,17.9121,20.3342,23.0838,26.2053,30.0692,34.5028,26.2365,29.9260,34.1343,38.9343,44.7841,51.9618,60.2898,69.5579,78.3280,126.0463
콜롬비아,콜롬비아,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,,0.0305,0.0339,0.0394,0.0378,0.0385,0.0384,0.0384,0.0360,0.0377,0.0376,0.0399,0.0419,0.0439,0.0430,0.0443,0.0469,0.0484,0.0490,0.0521,0.0553,0.0587,0.0600,0.0612,0.0616,0.0629,0.0586,0.0548,0.0524,0.0563,0.0565,0.0601,0.0598,0.0576,0.0618,0.0645,0.0661,0.0703,0.0731
멕시코,멕시코,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,,,,,,,,,0.00,0.0186,0.0193,0.0194,0.0211,0.0227,0.0244,0.0265,0.0288,0.0303,0.0295,0.0311,0.0305,0.0313,0.0461,0.0486,0.0512,0.0540,0.0569,0.0600,0.0634,0.0674,0.0716,0.0761,0.0809,0.0864,0.0922,0.0984,0.1146,0.1325,0.1520
캐나다,캐나다,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,,,,,,,,,,,0.1607,0.1734,0.1923,0.2190,0.2385,0.2716,0.2958,0.3250,0.3507,0.3713,0.3932,0.4164,0.4296,0.4420,0.4680,0.4953,0.5240,0.5543,0.5863,0.6320,0.6828,0.7398,0.8042,0.9248,1.0636,1.2231,1.3663,1.5338,1.7427
아르헨티나,아르헨티나,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4832,0.5003,0.5181,0.5849,0.6195,0.6561,0.6287,0.6913,0.7878,0.9056,0.8868,1.0284,1.1205
포르투갈,포르투갈,https://public.flourish.studio/country-flags/svg/pt.svg,,0.0308,0.0310,0.0319,0.0322,0.0340,0.0343,0.0366,0.0390,0.0378,0.0391,0.0369,0.0347,0.0341,0.0335,0.0316,0.0297,0.0313,0.0326,0.0327,0.0344,0.0362,0.0355,0.0357,0.0336,0.0317,0.0317,0.0308,0.0278,0.0268,0.0255,0.0210,0.0184,0.0107,0.0140,0.0178,0.0217,0.0290,0.0371
스페인,스페인,https://public.flourish.studio/country-flags/svg/es.svg,,0.1441,0.1531,0.1504,0.1538,0.1635,0.1607,0.1755,0.1804,0.1849,0.1882,0.5709,0.4855,0.4760,0.5191,0.5401,0.5836,0.6913,0.6664,0.7090,0.7047,0.7075,0.2638,0.2902,0.3192,0.3511,0.3857,1.0503,1.1450,1.2548,1.3762,1.5093,1.6553,0.9145,1.2165,1.5914,1.2821,1.1792,2.3551
프랑스,프랑스,https://public.flourish.studio/country-flags/svg/fr.svg,,0.7287,0.7738,0.7986,0.8082,0.8340,0.8941,0,0,0,24.1803,3.3331,0.7210,0.7546,0.8275,0.9074,0.9678,0.9935,1.0397,1.0882,1.1715,1.2260,1.3444,1.4742,1.6166,1.7727,1.9439,1.9869,2.0310,2.0728,2.1155,2.2188,2.4104,2.7265,3.0845,3.5222,4.0307,4.6125,5.2784
비시프랑스,프랑스,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Philippe_P%C3%A9tain%2C_Chief_of_State_of_Vichy_France.svg,,,,,,,0.8941,0.6453,0.7562,,24.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영국,영국,https://public.flourish.studio/country-flags/svg/gb.svg,,1.8870,1.8975,1.8322,1.7691,1.9028,1.9515,1.9429,1.9646,1.9820,9.7815,9.0563,1.5864,1.6258,1.7963,1.9307,1.9787,2.0911,2.0845,2.2655,2.4848,2.5515,2.8240,3.1257,3.4596,3.8292,4.2382,4.3492,4.4631,4.6618,4.8693,5.0861,5.3125,5.5459,5.7896,6.0439,6.3095,6.5362,6.7711
