국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
전세계,전세계,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_the_United_Nations.svg,,,,,,,,,,,314,315,328,343,364,379,396,411,414,428,442,453,479,507,532,562,594,646,682,783,844,911,989,1075,1184,1312,1448,,
미국,미국,https://public.flourish.studio/country-flags/svg/us.svg,590,596,613,655,675,716,774,826,881,940,987,1026,1105,1191,1271,1271,1306,1343,1382,1450,1521,1394,1558,1741,1945,2172,2423,2731,3080,3455,3880,4362,4909,5578,6399,7342,8369,9305.9,9870.1
콜롬비아,콜롬비아,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,156,177,194,222,210,211,206,202,185,190,185,192,196,201,193,193,199,200,198,204,211,218,217,214,210,208,188,170,158,165,160,165,160,150,156,159,159,164.8,167.6
멕시코,멕시코,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,,,,,,,,,,213,214,208,218,227,236,248,261,268,253,260,248,247,354,362,370,379,387,396,405,417,429,441,453,468,483,500,564,632.2,703.4
캐나다,캐나다,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,,,,,,,,,,,655,695,756,846,904,1010,1076,1154,1211,1246,1283,1324,1329,1328,1368,1414,1464,1517,1575,1666,1767,1879,2005,2266,2565,2907,3186,3502.4,3919.5
아르헨티나,아르헨티나,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,2370,2414,2458,2731,2846,2967,2800,3032,3403,3852,3714,4239.4,4546.7
포르투갈,포르투갈,https://public.flourish.studio/country-flags/svg/pt.svg,223,214,213,216,215,225,224,237,250,239,246,229,214,208,203,189,177,185,191,191,200,209,204,204,191,179,178,173,156,151,143,118,104,121,158,203,250,333.6,420.9
스페인,스페인,https://public.flourish.studio/country-flags/svg/es.svg,276,293,309,300,304,320,312,338,344,350,353,354,358,348,376,388,416,415,398,420,414,412,450,491,535,582,634,684,738,800,867,940,1020,1114,1223,1357,1517,1726.2,1948.1
프랑스,프랑스,https://public.flourish.studio/country-flags/svg/fr.svg,580,600,638,659,668,690,739,,,,988,814,877,915,999,1091,1155,1173,1215,1259,1341,1389,1508,1637,1777,1928,2093,2119,2145,2167,2189,2275,2450,2750,3088,3497,3966,4496.3,5100.5
비시프랑스,프랑스,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Philippe_P%C3%A9tain%2C_Chief_of_State_of_Vichy_France.svg,,,,,,,739,799,934,961,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영국,영국,https://public.flourish.studio/country-flags/svg/gb.svg,758,804,804,773,742,795,811,804,810,814,800,738,805,822,904,968,987,1038,1032,1116,1219,1246,1374,1513,1665,1833,2017,2056,2094,2172,2254,2339,2429,2522,2620,2725,2834,2923.7,3018.5
네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg,498,490,517,515,538,547,,,,,,572,485,458,446,421,409,404,383,387,368,382,808,854,902,952,1008,1065,1124,1188,1255,1326,1402,1516,1641,1774,1917,2072.2,2244.0
독일령 네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg,,,,,,547,555,574,598,618,629,572,,,,,,,,,,,,,,,,,,,,,,,,,,,
독일,독일,https://public.flourish.studio/country-flags/svg/de.svg,424,424,440,479,514,558,567,611,662,697,671,545,,,,,,,,,,,,,,,,,,,,,,,,,,,
서독,독일,https://public.flourish.studio/country-flags/svg/de.svg,,,,,,,,,,,,545,615,668,740,810,851,926,915,957,1000,1015,1107,1208,1315,1432,1560,1687,1823,2070,2354,2675,3041,3500,4030,4637,5360,6205.1,7162.6
동독,동독,https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg,,,,,,,,,,,,,380,413,457,501,526,572,565,591,618,627,684,746,812,885,964,1032,1104,1217,1343,1482,1636,1820,2027,2249,2506,2797.2,3113.1
덴마크,덴마크,https://public.flourish.studio/country-flags/svg/dk.svg,434,428,434,454,447,458,487,515,544,509,514,484,488,489,490,476,483,490,507,505,482,461,997,1080,1168,1263,1365,1385,1404,1423,1442,1535,1634,1745,1867,1998,2135,2281.7,2489.2
이탈리아,이탈리아,https://public.flourish.studio/country-flags/svg/it.svg,387,403,413,423,428,460,466,459,477,484,485,440,451,456,496,501,536,546,567,555,542,547,569,592,617,645,674,688,702,737,776,821,874,954,1063,1182,1313,1457.6,1614.2
