대륙,국가,GDP(10억달러),GDP대비국방비,국방비(10억달러),GDP 순위,국방비 순위,인구(만명),1인당GDP,등급,세율,국가예산(%),국가예산,경제체제,주업,환경오염율,복지수준,복지지출비(10억달러),환경개선비(10억달러),경제투자율,경제투자비,국방비대비장비구입비,총장비구입비,장비구입비,남은 장비구입비(10억달러),지출(10억달러),순이익,최종순이익,국고,GDP대비국고(%),경제성장률 계산,최종경제성장률,수출(10억달러),수입(10억달러),비고,경기수준,,땅 넓이(Km²)(현실기준),오염된 넓이(Km²),다음연도 오염율,연합,다음연도 GDP,다음연도 예정순위,국고 보유순위,GDP대비국고순위,영어 국가명,강대국 등급
아메리카,미국,2100.77,5.5,115.5424,1위,1위,21284.3,9870.1,선진국,22,18.5,388.6427,시장경제,중공업 서비스업 첨단산업,12.36000,중간복지,63.8528,,0,0,25,28.8856,,28.8856,179.3952,-71.5997,-71.5997,210.1472,10.00,2.57,4.57,0.17275,,경기침체,80,역성장,"9,833,517","1,215,422.70",12.56000,NATO,2196.74,1위,1위,20위,United States,초강대국
아메리카,콜롬비아, 3.6572,2,0.0731,33위,30위,2182.0,167.6,후진국,10,10,0.3657,혼합경제,경공업 에너지산업,5.29000,매우낮은복지,0.2182,,,0,25,0.0183,,0.0183,0.2913,-1.0109,-1.0109,-1.6990,-46.46,6.08,6.08,,,,32,빠른성장,"1,141,748","60,398.47",5.40000,NATO, 3.8796,32위,30위,34위,Colombia,무권력국
아메리카,멕시코, 38.0028,0.4,0.1520,17위,28위,5403.0,703.4,개발도상국,17,16,6.0804,계획경제,농수산업 서비스업 에너지산업,4.58000,매우낮은복지,0.5403,,5,1.900139956,25,0.0380,,0.0380,2.5925,3.1880,4.1444,44.6715,117.55,10.82,11.82,,,호황고정(534억달러),1,호황,"1,964,375","89,968.38",4.76000,NATO, 42.4952,16위,3위,9위,Mexico,지역강국
아메리카,캐나다, 87.1342,2,1.7427,9위,10위,2223.1,3919.5,선진국,15,15,13.0701,시장경제,중공업 서비스업,8.64000,중간복지,6.6693,,0,0,25,0.4357,,0.4357,8.4119,4.6582,4.6582,5.5756,6.40,11.62,13.62,,,호황고정(1313억달러),1,호황,"9,984,670","862,675.49",8.77000,, 99.0030,7위,18위,21위,Canada,지역강국
아메리카,아르헨티나,  112.050,1,1.1205,6위,12위,2464.4,4546.7,선진국,10,10,11.2050,시장경제,중공업 첨단산업 서비스업,7.26000,중간복지,7.3933,,0,0,25,0.2801,,0.2801,8.5138,2.6912,2.6912,3.8099,3.40,-1.04,-1.04,,,,90,후퇴,"2,780,400","201,857.04",7.46000,,  110.886,6위,20위,24위,Argentina,강대국
유럽,포르투갈, 3.7106,1,0.0371,32위,35위,881.6,420.9,후진국,10,10,0.3711,계획경제,농수산업 에너지산업,7.56000,낮은복지,0.6171,,10,0.3710569555,25,0.0093,,0.0093,1.0253,-1.4042,-0.4213,-1.3048,-35.16,21.59,23.59,,,,92,불황,"92,090","6,962.00",7.66000,, 4.5859,31위,28위,33위,Portugal,무권력국
유럽,스페인, 67.2879,3,2.0186,11위,8위,3454.0,1948.1,중진국,35,25,16.8220,시장경제,중공업 서비스업 첨단산업,9.96000,중간복지,10.3620,,3,2.018636253,25,0.5047,0.11125,0.3934,14.3992,2.0227,2.0227,-2.2605,-3.36,13.63,14.13,,,호황고정(781억달러),1,호황,"505,992","50,396.80",10.16000,NATO, 76.7954,10위,32위,28위,Spain,지역강국
유럽,프랑스,  263.920,2,5.2784,4위,5위,5174.4,5100.5,선진국,30,22.5,59.3821,시장경제,중공업 서비스업,10.07000,높은복지,43.9823,,,0,25,1.3196,,1.3196,49.2607,10.1214,10.1214,28.3098,10.73,12.44,14.44,,,호황고정(2652억달러) 경제체제쿨타임(76년),1,호황,"551,695","55,555.69",10.20000,NATO,  302.020,4위,6위,19위,France,강대국
유럽,영국,  169.278,4,6.7711,5위,4위,5607.9,3018.5,중진국,23,19,32.1628,시장경제,중공업 서비스업 에너지산업,13.52000,중간복지,16.8238,,,0,25,1.6928,,1.6928,23.5949,8.5679,8.5679,172.9493,102.17,11.04,12.24,,,,1,호황,"243,610","32,936.07",13.75000,NATO,  189.995,5위,2위,10위,United Kingdom,강대국
유럽,네덜란드, 29.9413,3,0.8982,19위,15위,1334.3,2244.0,중진국,30,22.5,6.7368,혼합경제,농수산업 첨단산업,7.73000,낮은복지,0.9340,,,0,25,0.2246,,0.2246,1.8322,3.9366,3.9366,37.1496,124.08,9.39,9.39,,,호황고정(689억달러) 1966년 월드컵개최,1,호황,"41,543","3,211.27",7.80000,, 32.7535,19위,4위,8위,Netherlands,약소국
