 기본성장률,,,,,,
,,,,,,
등급,최저경제성장률(%),최대경제성장률(%)폐지됨,기본경제성장률(%),,,
후진국,-50,150,3,,,
개발도상국,-30,50,2,,,
중진국,-60,20,3.5,,,
선진국,-20,20,5,,,
,,,,,,
,,,,,,
국가예산,,,,,,
,,,,,,
세율(%),국가예산(GDP대비),경제성장률(-%),비고,,,
10~15,10~15,0~3,"국가예산부분 1%당 1% 
경제성장률 1%당 0.6%",,,
15~25,15~20,3~8,"국가예산부분 1%당 0.5%
경제성장률 1%당 0.5%",,,
25~35,20~25,8~18,"국가예산부분 1%당 0.5%
경제성장률 1%당 1%",,,
35~50,25~40,18~63,"국가예산부분 1%당 1%
경제성장률 1%당 3%",,,
50~,40~,63~,"국가예산부분 1%당 2%
경제성장률 1%당 5%",,,
,,,,,,
GDP 대비 국방비,,,,,,
,,,,,,
GDP대비국방비(%),경제성장률(-%),비고,,,,
0~5,0~5,1%당 1%p,,,,
5~30,5~55,1%당 2%p,,,,
30~80,55~105,1%당 1%p,,,,
80~90,105~145,1%당 4%p,,,,
90~100,145~285,1%당 14%p,,,,
,,,,,,
GDP대비 부채율(다음연도적용),,,,,,
,,,,,,
GDP대비 흑자(%),경제성장률(-%),비고,경제위기 발생확률,경제위기 디버프,,
0~-20,0,,0,,,
-20~-60,0~10,1%당 0.25%p,,,,
-60~-80,10~20,1%당 0.5%p,,,,
-80~-160,20~60,1%당 0.5%p,20,경제성장률-10%p,,
-160~-300,60~116,1%당 0.4%p,60,,,
-300~,116~500,1%당 1%p,90,,,
,,,,,,
주업(최대4개),,,,,,
,,,,,,
주업/등급,후진국,개발도상국,중진국,선진국,,
농수산업(중,15,8,4,2.6,,
경공업    복,9,10,5,1,,
중공업    X),-11,3,25,10,,
첨단산업(중복O),-32,2,10,22,,
서비스업(중복O),3.1,4,13,20,,
에너지산업(중복O),10,25,5,5.6,,
,,,,,,
환경오염율,,,,,,
,,,,,,
주업,환경오염율(%p),"환경오염율(%p,2015)",등급,기본환경오염율(%),,
농수산업,0,0.1,후진국,0,,
경공업,0.01,0.08,개발도상국,1,,
중공업,0.05,0.9,중진국,3,,
첨단산업,0.07,1.3,선진국,5,,
서비스업,0.08,0.6,,,,
에너지산업,0.1,5.5,,,,
,,,,,,
환경오염 디버프,,,,,,
,,,,,,
환경오염율(%),경제성장률(-%),주변국오염율(%p),인구증가율변화,환경오염감소율의 감소(%),,
0~20,,,0,0,,
20~40,20~30(0.5%p),,-0.2%p,0,,
40~60,30~50(1%p),,-0.5%p,-30,,
60~80,50~80(1.5%p),0.5,-1%p,-50,,
80~100,80~120(2%p),2,-2.5%p,-80,,
환경오염 개선,,,,,,
,,,,,,
,,,,,,
개선이름,환경오염 감소율(-%),비용(10억달러),,,,
나무심기,0.02,0.2,,,,
