투자국,투자국 자금(순이익),피투자국,피투자국 등급,투자금액(10억달러),피투자국GDP대비투자금,환수율(%),성장률(%p),투자국의 차익금,수익여부
미국,-71.5997,대한민국,중진국,45,89.93,2,6.30,0.9,X
네덜란드,3.9366,대한민국,중진국,1,2.00,2,0.20,0.032,O
미국,-71.5997,이스라엘,중진국,7,73.77,2,6.14,0.14,X
미국,-71.5997,모로코,후진국,15,139.81,5,13.99,0.75,X
미국,-71.5997,이탈리아,중진국,10,11.46,2,1.15,0.89,O
미국,-71.5997,포르투갈,후진국,15,404.25,5,20.06,0.75,X
미국,-71.5997,이집트,후진국,20,293.72,5,18.41,1,X
미국,-71.5997,멕시코,개발도상국,10,26.31,3,3.63,0.3,X
콜롬비아,-1.0109,이스라엘,중진국,1.2,12.65,2,1.26,0.11472,O
미국,-71.5997,스페인,중진국,20,29.72,2,2.97,0.4,X
이란,15.5618,레바논,후진국,42,9869.56,5,69.85,50.4,O
이란,15.5618,시에라리온,후진국,30,6398.40,5,52.49,36,O
미국,-71.5997,아일랜드,중진국,35,415.22,2,9.12,0.7,X
이란,15.5618,이라크,후진국,29,14892.21,5,94.96,34.8,O
미국,-71.5997,덴마크,중진국,20,160.97,2,7.01,0.4,X
미국,-71.5997,베트남,후진국,95,3695.95,5,38.98,4.75,X
